,index,pac_name,date_of_deposit,amount,contributor,notes,relevant_amounts,source_docs,address,city,state,zip,address_full,occupation,type,employer,in_kind_description,lat,lng,accuracy
39,39,Friends of Matt Caldwell,2/8/17,500,"Massey Services, Inc.",,,,315 Groveland Street,Orlando,FL,32804,"315 Groveland Street, Orlando, FL 32804",Pest Control,Check,,,28.5793512,-81.3739907,
83,83,Friends of Matt Caldwell,2/28/17,5000,Melbourne Greyhound Park LLC,,,,1100 North Wickham Road,Melbourne,FL,32935,"1100 North Wickham Road, Melbourne, FL 32935",Pari-Mutuel,Check,,,28.1243611,-80.6715976,
63,63,Friends of Matt Caldwell,2/21/17,25,"Metz, Husband & Daughton, PA",,,,"119 South Monroe Street, Ste 200",Tallahassee,FL,32301,"119 South Monroe Street, Ste 200, Tallahassee, FL 32301",Law Firm,Inkind,,,30.4411786,-84.2801993,
150,150,Friends of Matt Caldwell,6/27/17,5000,MITIGATION BANKING FOR FLORIDA'S FUTURE,Lori Killinger is registered agent,,,315 South Calhoun Street,Tallahassee,FL,3201,"315 South Calhoun Street, Tallahassee, FL 03201",Political Comm,Check,,,30.4393212,-84.2786941,
52,52,Friends of Matt Caldwell,2/16/17,500,MMS LLC,,,,3340 Placida Road,Englewood,FL,34224,"3340 Placida Road, Englewood, FL 34224",Healthcare,Check,,,26.9043839,-82.3239263,
116,116,Friends of Matt Caldwell,3/6/17,2500,"MOSAIC FERTILIZER, LLC",cleaned based on address,,,3033 Campus Drive Ste E490,Plymouth,MN,55441,"3033 Campus Drive Ste E490, Plymouth, MN 55441",Fertilizer,Check,,,45.015467,-93.45461,
24,24,Friends of Matt Caldwell,1/17/17,5000,"MOSAIC FERTILIZER, LLC",cleaned based on address,,,3033 Campus Drive Ste E490,Plymouth,MN,55441,"3033 Campus Drive Ste E490, Plymouth, MN 55441",Fertilizer,Check,,,45.015467,-93.45461,
50,50,Friends of Matt Caldwell,2/16/17,2500,Municipal Electric PAC,,,,Post Office Box 10114,Tallahassee,FL,32302,"Post Office Box 10114, Tallahassee, FL 32302",Political Committee,Check,,,30.442124,-84.320881,
124,124,Friends of Matt Caldwell,3/6/17,3000,Natural Resource Planning Service,,,,4703 NW 53rd Ave Ste B-1,Gainesville,FL,32653,"4703 NW 53rd Ave Ste B-1, Gainesville, FL 32653",Forestry,Check,,,29.7027734,-82.3928233,
125,125,Friends of Matt Caldwell,3/6/17,1500,"Nobles Consulting Group, Inc.",,,,2844 Pablo Ave,Tallahassee,FL,32308,"2844 Pablo Ave, Tallahassee, FL 32308",Land Surveyi,Check,,,30.48953,-84.225944,
504,504,Florida Committee for Conservative Leade (PAC),3/6/17,1500,"NORTHSTAR CONTRACTING GROUP, INC.",,,,2760 S. FALKENBURG ROAD,RIVERVIEW,FL,33578,"2760 S. FALKENBURG ROAD, RIVERVIEW, FL 33578",CONTRACTOR,,,,27.9211662,-82.3374788,
75,75,Friends of Matt Caldwell,2/23/17,1500,"Northstart Contracting Group, Inc",,,,2760 S. Falkenburg Rd,Riverview,FL,33578,"2760 S. Falkenburg Rd, Riverview, FL 33578",Construction,Check,,,27.9211662,-82.3374788,
84,84,Friends of Matt Caldwell,2/28/17,5000,Ocala Breeders Sales Co. Inc.,,,,Post Office Box 99,Ocala,FL,34478,"Post Office Box 99, Ocala, FL 34478",Horse Breede,Check,,,29.1332817,-82.0445278,
157,157,Friends of Matt Caldwell,7/31/17,5000,Liberty Florida,Sen. Jeff Brandes Pac,,,610 South Boulevard,Tampa,FL,33606,"610 South Boulevard, Tampa, FL 33606",Political Comm,Check,,,27.9378315,-82.4683977,
37,37,Friends of Matt Caldwell,2/8/17,2500,PestPAC,,,,8489 Cabin Hill Road,Tallahassee,FL,32311,"8489 Cabin Hill Road, Tallahassee, FL 32311",Political Comm,Check,,,30.3912921,-84.1505442,
33,33,Friends of Matt Caldwell,1/31/17,10000,RaceTrac,RaceTrac store?,,Company website: http://bit.ly/2xchwa0,Post Office Box 105035,Atlanta,GA,30348,"Post Office Box 105035, Atlanta, GA 30348",Fuel,Check,,,33.775292,-84.304262,
119,119,Friends of Matt Caldwell,3/6/17,1000,Realtor Political Advocay Committt,,,,7025 Augusta National Drive,Orlando,FL,32822,"7025 Augusta National Drive, Orlando, FL 32822",Political Comm,Check,,,28.4618653,-81.3051137,
32,32,Friends of Matt Caldwell,1/27/17,10000,Liberty Florida,Sen. Jeff Brandes Pac,,,610 South Boulevard,Tampa,FL,33606,"610 South Boulevard, Tampa, FL 33606",Political Comm,Check,,,27.9378315,-82.4683977,
57,57,Friends of Matt Caldwell,2/16/17,100,Richard Williams,,,,Post Office Box 215,Bristol,FL,32321,"Post Office Box 215, Bristol, FL 32321",,Check,,,30.4311403,-84.9807943,
98,98,Friends of Matt Caldwell,3/2/17,500,Ronald E.Inge,,,,11000 Via Tuscany Lane Apt 202,Miromar Lakes,FL,33,"11000 Via Tuscany Lane Apt 202, Miromar Lakes, FL 00033",Engineering,Check,,,26.4782582,-81.772721,
134,134,Friends of Matt Caldwell,3/6/17,25000,"Six L S Packing Company,Inc.",tomato farmers,,,Post Office Box 3088,Immokalee,FL,34143,"Post Office Box 3088, Immokalee, FL 34143",Agriculture,Check,,,26.429044,-81.432964,
135,135,Friends of Matt Caldwell,3/6/17,1000,Smarthorizons,,,,Post Office Box 368,Lawton,OK,73502,"Post Office Box 368, Lawton, OK 73502",Education,Check,,,34.602838,-98.395276,
87,87,Friends of Matt Caldwell,2/28/17,600,Southeast Environmental Solutions,"Envrionmental permitting, ecological and biological services company",,Company website: http://bit.ly/2xctm46,801 N. Park Road,Plant City,FL,33563,"801 N. Park Road, Plant City, FL 33563",Land Consulti,Check,,,28.0215307,-82.1052557,
149,149,Friends of Matt Caldwell,6/15/17,2500,"Southwest Florida Enterprises, Inc",,,,Post Office Box 350940,Miami,FL,33135,"Post Office Box 350940, Miami, FL 33135",Pari-Mutuel,Check,,,25.8023665,-80.2253538,
126,126,Friends of Matt Caldwell,3/6/17,7500,"Southwest Florida Enterprises, Inc",,,,Post Office Box 350940,Miami,FL,33135,"Post Office Box 350940, Miami, FL 33135",Pari-Mutuel,Check,,,25.8023665,-80.2253538,
110,110,Friends of Matt Caldwell,3/6/17,1000,"Strayhorn & Persons, PL",,,,"2125 First Street, Ste 201",Fort Myers,FL,33901,"2125 First Street, Ste 201, Fort Myers, FL 33901",Law Firm,Check,,,26.6438866,-81.8710552,
610,610,Florida Committee for Conservative Leade (PAC),3/6/17,5000,SUMMIT,PAC chaired by Amy Schwan. ,,,POST OFFICE BOX 988,LAKELAND,FL,33802,"POST OFFICE BOX 988, LAKELAND, FL 33802",INSURANCE,,,,28.0293686,-81.9573087,
114,114,Friends of Matt Caldwell,3/6/17,2500,Suncoast Beverage Sales Ltd,,,,2996 Hanson Street,Fort Myers,FL,33916,"2996 Hanson Street, Fort Myers, FL 33916",Beverage Dis,Check,,,26.62197,-81.850447,
68,68,Friends of Matt Caldwell,2/23/17,1000,Surgi PAC North,surgical association,,,8489 Cabin Hill Road,Tallahassee,FL,32311,"8489 Cabin Hill Road, Tallahassee, FL 32311",Political Comm,Check,,,30.3912921,-84.1505442,
35,35,Friends of Matt Caldwell,2/1/17,5000,"Surterra Holdings,Inc",,,,"318 Cherokee Ave, Suite 108",Atlanta,GA,30312,"318 Cherokee Ave, Suite 108, Atlanta, GA 30312",Land Investm,Check,,,33.746257,-84.37323,
90,90,Friends of Matt Caldwell,2/28/17,600,"Survtech Solutions, Inc.",,,,10220 East US Highway 92,Tampa,FL,33610,"10220 East US Highway 92, Tampa, FL 33610",Surveying,Check,,,27.996391,-82.331907,
105,105,Friends of Matt Caldwell,3/2/17,5000,"Swisher International, Inc.",,,,Post Office Box 2230,Jacksonville,FL,32203,"Post Office Box 2230, Jacksonville, FL 32203",Cigar Manufa,Check,,,30.337422,-81.671572,
143,143,Friends of Matt Caldwell,3/6/17,15000,"The Committee for Justice, Transp",PAC chaired by David Ramba of Ramba Consulting,,Florida Division of Elections: http://bit.ly/2xcURKH,120 South Monroe Street,Tallahassee,FL,32301,"120 South Monroe Street, Tallahassee, FL 32301",Political Comm,Check,,,30.4409781,-84.2810459,
29,29,Friends of Matt Caldwell,1/27/17,5000,"The Committee for Justice, Transp",PAC chaired by David Ramba of Ramba Consulting,,Florida Division of Elections: http://bit.ly/2xcURKH,120 South Monroe Street,Tallahassee,FL,32301,"120 South Monroe Street, Tallahassee, FL 32301",Political Comm,Check,,,30.4409781,-84.2810459,
60,60,Friends of Matt Caldwell,2/16/17,2500,The Doctors Company Florida PAC,,,,185 Greenwood Raod,Napa,CA,94558,"185 Greenwood Raod, Napa, CA 94558",Political Comm,Check,,,38.220542,-122.254835,
67,67,Friends of Matt Caldwell,2/23/17,2500,"THE GEO GROUP, INC. POLITICAL CONTRIBUTION ACCOUNT",cleaned based on address,,,"621 NW 53rd Street, Ste 700 Office 71",Boca Raton,FL,33487,"621 NW 53rd Street, Ste 700 Office 71, Boca Raton, FL 33487",Corrections,Check,,,26.3972303,-80.0951607,
61,61,Friends of Matt Caldwell,2/20/17,5000,The Green Solution,Marijuana Dispensary,,Company website: http://bit.ly/2vWPEIB,Post Office Box 14986,Gainesville,FL,32604,"Post Office Box 14986, Gainesville, FL 32604",Dispensary,Check,,,29.6103969,-82.3733184,
86,86,Friends of Matt Caldwell,2/28/17,600,Tracy N. Mouncey,,,,2560 Crews Lake Hills Loop N.,Lakeland,FL,33813,"2560 Crews Lake Hills Loop N., Lakeland, FL 33813",Land Use Co,Check,,,27.9486529,-81.9155774,
113,113,Friends of Matt Caldwell,3/6/17,20000,"Troyer Bros. Fl., Inc.","One of the largest potato farms in the Southeast, with farms located in Lee and Collier Counties, according to their website.",,Company website: http://bit.ly/2xczdGn,14700 Troyer Bros Road,Fort Myers,FL,33913,"14700 Troyer Bros Road, Fort Myers, FL 33913",Agriculture,Check,,,26.5303264,-81.6175908,
62,62,Friends of Matt Caldwell,2/20/17,5000,United States Sugar Corporation,United States Sugar Corporation,,,111 Ponce de Leon Ave,Clewiston,FL,33440,"111 Ponce de Leon Ave, Clewiston, FL 33440",Agriculture,Check,,,26.7546518,-80.9357057,
45,45,Friends of Matt Caldwell,2/15/17,20000,United States Sugar Corporation,United States Sugar Corporation,,,111 Ponce de Leon Ave,Clewiston,FL,33440,"111 Ponce de Leon Ave, Clewiston, FL 33440",Agriculture,Check,,,26.7546518,-80.9357057,
102,102,Friends of Matt Caldwell,3/2/17,2000,Veterans for Conservative Principl,Was chaired by Sen. Frank Artiles,,Florida Division of Elections: http://bit.ly/2xcEPRg,120 South Monroe Street,Tallahassee,FL,32301,"120 South Monroe Street, Tallahassee, FL 32301",Political Comm,Check,,,30.4409781,-84.2810459,
30,30,Friends of Matt Caldwell,1/27/17,5000,Veterans for Conservative Principl,Was chaired by Sen. Frank Artiles,,Florida Division of Elections: http://bit.ly/2xcEPRg,120 South Monroe Street,Tallahassee,FL,32301,"120 South Monroe Street, Tallahassee, FL 32301",Political Comm,Check,,,30.4409781,-84.2810459,
146,146,Friends of Matt Caldwell,5/30/17,10000,VOICE OF FLORIDA BUSINESS POLITICAL ACTION COMMITTEE,"PAC chaired by Tom Feeney,president of Associated Industries of Florida",,Florida division of elections: http://bit.ly/2xbaliy,Post Office Box 784,Tallahassee,FL,32302,"Post Office Box 784, Tallahassee, FL 32302",Political Comm,Check,,,30.4763594,-84.2386338,
48,48,Friends of Matt Caldwell,2/16/17,25000,VOICE OF FLORIDA BUSINESS POLITICAL ACTION COMMITTEE,"PAC chaired by Tom Feeney,president of Associated Industries of Florida",,Florida division of elections: http://bit.ly/2xbaliy,Post Office Box 784,Tallahassee,FL,32302,"Post Office Box 784, Tallahassee, FL 32302",Political Comm,Check,,,30.4763594,-84.2386338,
51,51,Friends of Matt Caldwell,2/16/17,5000,Walgreens,,,,200 Wilmont Road,Deerfield,IL,60015,"200 Wilmont Road, Deerfield, IL 60015",Pharmacy,Check,,,42.156809,-87.871074,
140,140,Friends of Matt Caldwell,3/6/17,5000,West Central Florida Chamber Allia,,,,Post Office Box 11309,Tallahassee,FL,32302,"Post Office Box 11309, Tallahassee, FL 32302",Political Comm,Check,,,30.4763594,-84.2386338,
92,92,Friends of Matt Caldwell,2/28/17,7500,White Rock Quarries,"Company specializing in high-quality DOT-certified crushed limestone aggregates and screenings for road construction, asphalt pavement and ready-mix prodcuts, according to their website.",,Company website: http://bit.ly/2xcBdOT,Post Office Box 15065,West Palm Beach,FL,,"Post Office Box 15065, West Palm Beach, FL ",Mining,Check,,,26.7131886,-80.0584982,
