,id,pac_name,date_of_deposit,amount,contributor,notes,relevant_amounts,source_docs,address,city,state,zip,address_full,occupation,type,employer,in_kind_description,lat,lng,accuracy
39,39,Friends of Matt Caldwell,2/8/17,500,"Massey Services, Inc.",,,,315 Groveland Street,Orlando,FL,32804,"315 Groveland Street, Orlando, FL 32804",Pest Control,Check,,,28.5793512,-81.3739907,
83,83,Friends of Matt Caldwell,2/28/17,5000,Melbourne Greyhound Park LLC,,,,1100 North Wickham Road,Melbourne,FL,32935,"1100 North Wickham Road, Melbourne, FL 32935",Pari-Mutuel,Check,,,28.1243611,-80.6715976,
63,63,Friends of Matt Caldwell,2/21/17,25,"Metz, Husband & Daughton, PA",,,,"119 South Monroe Street, Ste 200",Tallahassee,FL,32301,"119 South Monroe Street, Ste 200, Tallahassee, FL 32301",Law Firm,Inkind,,,30.4411786,-84.2801993,
150,150,Friends of Matt Caldwell,6/27/17,5000,MITIGATION BANKING FOR FLORIDA'S FUTURE,Lori Killinger is registered agent,,,315 South Calhoun Street,Tallahassee,FL,3201,"315 South Calhoun Street, Tallahassee, FL 03201",Political Comm,Check,,,30.4393212,-84.2786941,
52,52,Friends of Matt Caldwell,2/16/17,500,MMS LLC,,,,3340 Placida Road,Englewood,FL,34224,"3340 Placida Road, Englewood, FL 34224",Healthcare,Check,,,26.9043839,-82.3239263,
116,116,Friends of Matt Caldwell,3/6/17,2500,"MOSAIC FERTILIZER, LLC",cleaned based on address,,,3033 Campus Drive Ste E490,Plymouth,MN,55441,"3033 Campus Drive Ste E490, Plymouth, MN 55441",Fertilizer,Check,,,45.015467,-93.45461,
24,24,Friends of Matt Caldwell,1/17/17,5000,"MOSAIC FERTILIZER, LLC",cleaned based on address,,,3033 Campus Drive Ste E490,Plymouth,MN,55441,"3033 Campus Drive Ste E490, Plymouth, MN 55441",Fertilizer,Check,,,45.015467,-93.45461,
50,50,Friends of Matt Caldwell,2/16/17,2500,Municipal Electric PAC,,,,Post Office Box 10114,Tallahassee,FL,32302,"Post Office Box 10114, Tallahassee, FL 32302",Political Committee,Check,,,30.442124,-84.320881,
124,124,Friends of Matt Caldwell,3/6/17,3000,Natural Resource Planning Service,,,,4703 NW 53rd Ave Ste B-1,Gainesville,FL,32653,"4703 NW 53rd Ave Ste B-1, Gainesville, FL 32653",Forestry,Check,,,29.7027734,-82.3928233,
125,125,Friends of Matt Caldwell,3/6/17,1500,"Nobles Consulting Group, Inc.",,,,2844 Pablo Ave,Tallahassee,FL,32308,"2844 Pablo Ave, Tallahassee, FL 32308",Land Surveyi,Check,,,30.48953,-84.225944,
504,504,Florida Committee for Conservative Leade (PAC),3/6/17,1500,"NORTHSTAR CONTRACTING GROUP, INC.",,,,2760 S. FALKENBURG ROAD,RIVERVIEW,FL,33578,"2760 S. FALKENBURG ROAD, RIVERVIEW, FL 33578",CONTRACTOR,,,,27.9211662,-82.3374788,
75,75,Friends of Matt Caldwell,2/23/17,1500,"Northstart Contracting Group, Inc",,,,2760 S. Falkenburg Rd,Riverview,FL,33578,"2760 S. Falkenburg Rd, Riverview, FL 33578",Construction,Check,,,27.9211662,-82.3374788,
84,84,Friends of Matt Caldwell,2/28/17,5000,Ocala Breeders Sales Co. Inc.,,,,Post Office Box 99,Ocala,FL,34478,"Post Office Box 99, Ocala, FL 34478",Horse Breede,Check,,,29.1332817,-82.0445278,
157,157,Friends of Matt Caldwell,7/31/17,5000,Liberty Florida,Sen. Jeff Brandes Pac,,,610 South Boulevard,Tampa,FL,33606,"610 South Boulevard, Tampa, FL 33606",Political Comm,Check,,,27.9378315,-82.4683977,
37,37,Friends of Matt Caldwell,2/8/17,2500,PestPAC,,,,8489 Cabin Hill Road,Tallahassee,FL,32311,"8489 Cabin Hill Road, Tallahassee, FL 32311",Political Comm,Check,,,30.3912921,-84.1505442,
33,33,Friends of Matt Caldwell,1/31/17,10000,RaceTrac,RaceTrac store?,,Company website: http://bit.ly/2xchwa0,Post Office Box 105035,Atlanta,GA,30348,"Post Office Box 105035, Atlanta, GA 30348",Fuel,Check,,,33.775292,-84.304262,
119,119,Friends of Matt Caldwell,3/6/17,1000,Realtor Political Advocay Committt,,,,7025 Augusta National Drive,Orlando,FL,32822,"7025 Augusta National Drive, Orlando, FL 32822",Political Comm,Check,,,28.4618653,-81.3051137,
32,32,Friends of Matt Caldwell,1/27/17,10000,Liberty Florida,Sen. Jeff Brandes Pac,,,610 South Boulevard,Tampa,FL,33606,"610 South Boulevard, Tampa, FL 33606",Political Comm,Check,,,27.9378315,-82.4683977,
57,57,Friends of Matt Caldwell,2/16/17,100,Richard Williams,,,,Post Office Box 215,Bristol,FL,32321,"Post Office Box 215, Bristol, FL 32321",,Check,,,30.4311403,-84.9807943,
98,98,Friends of Matt Caldwell,3/2/17,500,Ronald E.Inge,,,,11000 Via Tuscany Lane Apt 202,Miromar Lakes,FL,33,"11000 Via Tuscany Lane Apt 202, Miromar Lakes, FL 00033",Engineering,Check,,,26.4782582,-81.772721,
134,134,Friends of Matt Caldwell,3/6/17,25000,"Six L S Packing Company,Inc.",tomato farmers,,,Post Office Box 3088,Immokalee,FL,34143,"Post Office Box 3088, Immokalee, FL 34143",Agriculture,Check,,,26.429044,-81.432964,
135,135,Friends of Matt Caldwell,3/6/17,1000,Smarthorizons,,,,Post Office Box 368,Lawton,OK,73502,"Post Office Box 368, Lawton, OK 73502",Education,Check,,,34.602838,-98.395276,
87,87,Friends of Matt Caldwell,2/28/17,600,Southeast Environmental Solutions,"Envrionmental permitting, ecological and biological services company",,Company website: http://bit.ly/2xctm46,801 N. Park Road,Plant City,FL,33563,"801 N. Park Road, Plant City, FL 33563",Land Consulti,Check,,,28.0215307,-82.1052557,
149,149,Friends of Matt Caldwell,6/15/17,2500,"Southwest Florida Enterprises, Inc",,,,Post Office Box 350940,Miami,FL,33135,"Post Office Box 350940, Miami, FL 33135",Pari-Mutuel,Check,,,25.8023665,-80.2253538,
126,126,Friends of Matt Caldwell,3/6/17,7500,"Southwest Florida Enterprises, Inc",,,,Post Office Box 350940,Miami,FL,33135,"Post Office Box 350940, Miami, FL 33135",Pari-Mutuel,Check,,,25.8023665,-80.2253538,
110,110,Friends of Matt Caldwell,3/6/17,1000,"Strayhorn & Persons, PL",,,,"2125 First Street, Ste 201",Fort Myers,FL,33901,"2125 First Street, Ste 201, Fort Myers, FL 33901",Law Firm,Check,,,26.6438866,-81.8710552,
610,610,Florida Committee for Conservative Leade (PAC),3/6/17,5000,SUMMIT,PAC chaired by Amy Schwan. ,,,POST OFFICE BOX 988,LAKELAND,FL,33802,"POST OFFICE BOX 988, LAKELAND, FL 33802",INSURANCE,,,,28.0293686,-81.9573087,
114,114,Friends of Matt Caldwell,3/6/17,2500,Suncoast Beverage Sales Ltd,,,,2996 Hanson Street,Fort Myers,FL,33916,"2996 Hanson Street, Fort Myers, FL 33916",Beverage Dis,Check,,,26.62197,-81.850447,
68,68,Friends of Matt Caldwell,2/23/17,1000,Surgi PAC North,surgical association,,,8489 Cabin Hill Road,Tallahassee,FL,32311,"8489 Cabin Hill Road, Tallahassee, FL 32311",Political Comm,Check,,,30.3912921,-84.1505442,
35,35,Friends of Matt Caldwell,2/1/17,5000,"Surterra Holdings,Inc",,,,"318 Cherokee Ave, Suite 108",Atlanta,GA,30312,"318 Cherokee Ave, Suite 108, Atlanta, GA 30312",Land Investm,Check,,,33.746257,-84.37323,
90,90,Friends of Matt Caldwell,2/28/17,600,"Survtech Solutions, Inc.",,,,10220 East US Highway 92,Tampa,FL,33610,"10220 East US Highway 92, Tampa, FL 33610",Surveying,Check,,,27.996391,-82.331907,
105,105,Friends of Matt Caldwell,3/2/17,5000,"Swisher International, Inc.",,,,Post Office Box 2230,Jacksonville,FL,32203,"Post Office Box 2230, Jacksonville, FL 32203",Cigar Manufa,Check,,,30.337422,-81.671572,
143,143,Friends of Matt Caldwell,3/6/17,15000,"The Committee for Justice, Transp",PAC chaired by David Ramba of Ramba Consulting,,Florida Division of Elections: http://bit.ly/2xcURKH,120 South Monroe Street,Tallahassee,FL,32301,"120 South Monroe Street, Tallahassee, FL 32301",Political Comm,Check,,,30.4409781,-84.2810459,
29,29,Friends of Matt Caldwell,1/27/17,5000,"The Committee for Justice, Transp",PAC chaired by David Ramba of Ramba Consulting,,Florida Division of Elections: http://bit.ly/2xcURKH,120 South Monroe Street,Tallahassee,FL,32301,"120 South Monroe Street, Tallahassee, FL 32301",Political Comm,Check,,,30.4409781,-84.2810459,
60,60,Friends of Matt Caldwell,2/16/17,2500,The Doctors Company Florida PAC,,,,185 Greenwood Raod,Napa,CA,94558,"185 Greenwood Raod, Napa, CA 94558",Political Comm,Check,,,38.220542,-122.254835,
67,67,Friends of Matt Caldwell,2/23/17,2500,"THE GEO GROUP, INC. POLITICAL CONTRIBUTION ACCOUNT",cleaned based on address,,,"621 NW 53rd Street, Ste 700 Office 71",Boca Raton,FL,33487,"621 NW 53rd Street, Ste 700 Office 71, Boca Raton, FL 33487",Corrections,Check,,,26.3972303,-80.0951607,
61,61,Friends of Matt Caldwell,2/20/17,5000,The Green Solution,Marijuana Dispensary,,Company website: http://bit.ly/2vWPEIB,Post Office Box 14986,Gainesville,FL,32604,"Post Office Box 14986, Gainesville, FL 32604",Dispensary,Check,,,29.6103969,-82.3733184,
86,86,Friends of Matt Caldwell,2/28/17,600,Tracy N. Mouncey,,,,2560 Crews Lake Hills Loop N.,Lakeland,FL,33813,"2560 Crews Lake Hills Loop N., Lakeland, FL 33813",Land Use Co,Check,,,27.9486529,-81.9155774,
113,113,Friends of Matt Caldwell,3/6/17,20000,"Troyer Bros. Fl., Inc.","One of the largest potato farms in the Southeast, with farms located in Lee and Collier Counties, according to their website.",,Company website: http://bit.ly/2xczdGn,14700 Troyer Bros Road,Fort Myers,FL,33913,"14700 Troyer Bros Road, Fort Myers, FL 33913",Agriculture,Check,,,26.5303264,-81.6175908,
62,62,Friends of Matt Caldwell,2/20/17,5000,United States Sugar Corporation,United States Sugar Corporation,,,111 Ponce de Leon Ave,Clewiston,FL,33440,"111 Ponce de Leon Ave, Clewiston, FL 33440",Agriculture,Check,,,26.7546518,-80.9357057,
45,45,Friends of Matt Caldwell,2/15/17,20000,United States Sugar Corporation,United States Sugar Corporation,,,111 Ponce de Leon Ave,Clewiston,FL,33440,"111 Ponce de Leon Ave, Clewiston, FL 33440",Agriculture,Check,,,26.7546518,-80.9357057,
102,102,Friends of Matt Caldwell,3/2/17,2000,Veterans for Conservative Principl,Was chaired by Sen. Frank Artiles,,Florida Division of Elections: http://bit.ly/2xcEPRg,120 South Monroe Street,Tallahassee,FL,32301,"120 South Monroe Street, Tallahassee, FL 32301",Political Comm,Check,,,30.4409781,-84.2810459,
30,30,Friends of Matt Caldwell,1/27/17,5000,Veterans for Conservative Principl,Was chaired by Sen. Frank Artiles,,Florida Division of Elections: http://bit.ly/2xcEPRg,120 South Monroe Street,Tallahassee,FL,32301,"120 South Monroe Street, Tallahassee, FL 32301",Political Comm,Check,,,30.4409781,-84.2810459,
146,146,Friends of Matt Caldwell,5/30/17,10000,VOICE OF FLORIDA BUSINESS POLITICAL ACTION COMMITTEE,"PAC chaired by Tom Feeney,president of Associated Industries of Florida",,Florida division of elections: http://bit.ly/2xbaliy,Post Office Box 784,Tallahassee,FL,32302,"Post Office Box 784, Tallahassee, FL 32302",Political Comm,Check,,,30.4763594,-84.2386338,
48,48,Friends of Matt Caldwell,2/16/17,25000,VOICE OF FLORIDA BUSINESS POLITICAL ACTION COMMITTEE,"PAC chaired by Tom Feeney,president of Associated Industries of Florida",,Florida division of elections: http://bit.ly/2xbaliy,Post Office Box 784,Tallahassee,FL,32302,"Post Office Box 784, Tallahassee, FL 32302",Political Comm,Check,,,30.4763594,-84.2386338,
51,51,Friends of Matt Caldwell,2/16/17,5000,Walgreens,,,,200 Wilmont Road,Deerfield,IL,60015,"200 Wilmont Road, Deerfield, IL 60015",Pharmacy,Check,,,42.156809,-87.871074,
140,140,Friends of Matt Caldwell,3/6/17,5000,West Central Florida Chamber Allia,,,,Post Office Box 11309,Tallahassee,FL,32302,"Post Office Box 11309, Tallahassee, FL 32302",Political Comm,Check,,,30.4763594,-84.2386338,
92,92,Friends of Matt Caldwell,2/28/17,7500,White Rock Quarries,"Company specializing in high-quality DOT-certified crushed limestone aggregates and screenings for road construction, asphalt pavement and ready-mix prodcuts, according to their website.",,Company website: http://bit.ly/2xcBdOT,Post Office Box 15065,West Palm Beach,FL,,"Post Office Box 15065, West Palm Beach, FL ",Mining,Check,,,26.7131886,-80.0584982,
22,22,Friends of Matt Caldwell,12/1/16,2500,Property Casualty Insurers Associ,,,,"8700 West Bryn Mawr Ave, Ste 1200",Chicago,IL,60631,"8700 West Bryn Mawr Ave, Ste 1200, Chicago, IL 60631",Association,Check,,,41.982893,-87.843307,
23,23,Friends of Matt Caldwell,12/1/16,5000,SWBG Operations Group,,,,"9205 Southpark Center Loop, Ste 400",Orlando,FL,32819,"9205 Southpark Center Loop, Ste 400, Orlando, FL 32819",Entertainment,Check,,,28.4347889,-81.4246408,
21,21,Friends of Matt Caldwell,11/28/16,269.38,Boaters Heritage Freedom PAC,,,,8489 Cabin Hill Road,Tallahassee,FL,32311,"8489 Cabin Hill Road, Tallahassee, FL 32311",Political Committee,Check,,,30.3912921,-84.1505442,
19,19,Friends of Matt Caldwell,11/2/16,750,Florida Penninsula Insurance Company,,,,903 NW 65th Street Ste 200,Boca Raton,FL,33487,"903 NW 65th Street Ste 200, Boca Raton, FL 33487",Insurance,Check,,,26.4062505,-80.1047486,
20,20,Friends of Matt Caldwell,11/2/16,750,Edison Insurance Company,,,,903 NW 65th Street Ste 200,Boca Raton,FL,33487,"903 NW 65th Street Ste 200, Boca Raton, FL 33487",Insurance,Check,,,26.4062505,-80.1047486,
337,337,Florida Committee for Conservative Leade (PAC),11/1/16,2000,FLORIDA JUSTICE PAC,,,,218 SOUTH MONROE ST.,TALLAHASSEE,FL,32301,"218 SOUTH MONROE ST., TALLAHASSEE, FL 32301",PC,,,,30.4400328,-84.2810819,
18,18,Friends of Matt Caldwell,11/1/16,5000,FRF POLITICAL ACTION COMMITTEE,,,,227 South Adams Street,Tallahassee,FL,32301,"227 South Adams Street, Tallahassee, FL 32301",Political Committee,Check,,,30.440103,-84.281377,
17,17,Friends of Matt Caldwell,11/1/16,3000,Promax Compliance,,,,Post Office Box 50695,Fort Myers,FL,33994,"Post Office Box 50695, Fort Myers, FL 33994",Software,Check,,,26.5943296,-81.8584729,
16,16,Friends of Matt Caldwell,10/31/16,500,"Richard Gibbs, III",,,,1801 NW 18th Street,Pompano Beach,FL,33069,"1801 NW 18th Street, Pompano Beach, FL 33069",Utility Contractor,Check,,,26.2533538,-80.1477893,
15,15,Friends of Matt Caldwell,10/31/16,2500,Florida Power and Light,,,,700 Universe Blvd,Juno Beach,FL,33408,"700 Universe Blvd, Juno Beach, FL 33408",Utility,Check,,,26.8595013,-80.0581897,
414,414,Florida Committee for Conservative Leade (PAC),10/28/16,1000,GREENBERGTRAURIG,,,,8400 NW 36TH STREET STE 400,MIAMI,FL,33166,"8400 NW 36TH STREET STE 400, MIAMI, FL 33166",LAW FIRM,,,,25.8091906,-80.3328895,
529,529,Florida Committee for Conservative Leade (PAC),10/26/16,5000,PEOPLE'S TRUST PAC,,,,18 PEOPLE'S TRUST WAY,DEERFIELD BEACH,FL,33441,"18 PEOPLE'S TRUST WAY, DEERFIELD BEACH, FL 33441",POLITICAL COMMITTEE,,,,26.2973002,-80.1208733,
251,251,Florida Committee for Conservative Leade (PAC),10/26/16,1000,"COSTA NURSERY FARMS, LLC",,,,19000 SW 192ND STREET,MIAMI,FL,33187,"19000 SW 192ND STREET, MIAMI, FL 33187",AGRICULTURE,,,,25.5854223,-80.5005815,
14,14,Friends of Matt Caldwell,10/26/16,2500,FLORIDA POLICE BENEVOLENT ASSOCIATION FPBA LAW AND ORDER PAC,cleaned based on address,,,300 East Brevard Stree,Tallahassee,Fl,32301,"300 East Brevard Stree, Tallahassee, Fl 32301",Political Committee,Check,,,30.449342,-84.2792625,
13,13,Friends of Matt Caldwell,10/26/16,1000,LYKES BROS. INC.,,,,400 North Tampa Street Ste 1900,Tampa,FL,33602,"400 North Tampa Street Ste 1900, Tampa, FL 33602",Agriculture,Check,,,27.9477291,-82.4593309,
445,445,Florida Committee for Conservative Leade (PAC),10/26/16,5000,"JACKSONVILLE KENNEL CLUB, INC.",,,,POST OFFICE BOX 54249,JACKSONVILLE,FL,32245,"POST OFFICE BOX 54249, JACKSONVILLE, FL 32245",PARI MUTUEL,,,,30.337422,-81.671572,
617,617,Florida Committee for Conservative Leade (PAC),10/24/16,2500,TENET HEALTH,,,,POST OFFICE BOX 130300,DALLAS,TX,75313,"POST OFFICE BOX 130300, DALLAS, TX 75313",HEALTH CARE,,,,32.767268,-96.777626,
10,10,Friends of Matt Caldwell,10/19/16,1000,Southernmost Preservation Fund,,,,102411 Overseas Highway,Key Largo,FL,33037,"102411 Overseas Highway, Key Largo, FL 33037",Political Committee,Check,,,25.1245368,-80.4128145,
12,12,Friends of Matt Caldwell,10/19/16,500,David C. Ritz,,,,128 La Paloma Road,Key Largo,FL,33037,"128 La Paloma Road, Key Largo, FL 33037",Community Manager,Check,,,25.1160672,-80.4116016,
6,6,Friends of Matt Caldwell,10/19/16,1000,"Adventure Environmental, Inc.",,,,12935 SW 87th Ave,Miami,FL,33176,"12935 SW 87th Ave, Miami, FL 33176",Environmental Services,Check,,,25.6497415,-80.3341287,
3,3,Friends of Matt Caldwell,10/19/16,500,Elizabeth Wood,,,,205 Dogwood Lane,Islamorada,FL,33036,"205 Dogwood Lane, Islamorada, FL 33036",Environmental Consultant,Check,,,24.923501,-80.627313,
7,7,Friends of Matt Caldwell,10/19/16,500,Ocean Reef PAC,,,,24 Dockside Lane #465,Key Largo,FL,33037,"24 Dockside Lane #465, Key Largo, FL 33037",Political Committee,Check,,,40.5407345,-74.1443049,
9,9,Friends of Matt Caldwell,10/19/16,1000,"Dean Cannon, PA",,,,301 S. Bronougn Street,Tallahassee,FL,32301,"301 S. Bronougn Street, Tallahassee, FL 32301",Governmental Consultant,Check,,,30.440082,-84.284049,
4,4,Friends of Matt Caldwell,10/19/16,500,Russell A. Post,,,,35 Ocean Reef Drive Ste 120,Key Largo,FL,33037,"35 Ocean Reef Drive Ste 120, Key Largo, FL 33037",Real Estate,Check,,,25.3162024,-80.2789634,
11,11,Friends of Matt Caldwell,10/19/16,2500,DOSAL TOBACCO CORPORATION,,,,4775 NW 132nd Street,Opa Loca,FL,33054,"4775 NW 132nd Street, Opa Loca, FL 33054",Tobacco Company,Check,,,25.89383,-80.2767616,
8,8,Friends of Matt Caldwell,10/19/16,500,"Erin L. Deady, PA",,,,620 Bloxham Street,Lantana,FL,33462,"620 Bloxham Street, Lantana, FL 33462",Law Firm,Check,,,26.5809748,-80.0576043,
5,5,Friends of Matt Caldwell,10/19/16,500,Dewey Management Trust,,,,9 Harbour Green Dr,Key Largo,FL,33037,"9 Harbour Green Dr, Key Largo, FL 33037",Trust,Check,,,25.308616,-80.2895829,
411,411,Florida Committee for Conservative Leade (PAC),10/7/16,25,GRAYROBINSON,,,,"301 EAST PINE STREET, STE 100",ORLANDO,FL,32801,"301 EAST PINE STREET, STE 100, ORLANDO, FL 32801",LAW FIRM,,,FOOD AND BEVERAGE,28.5417955,-81.3740594,
2,2,Friends of Matt Caldwell,10/7/16,10000,"Lee FP, Inc.",,,,"9800 S. Healthpark Drive, Ste 350",Fort Myers,FL,33908,"9800 S. Healthpark Drive, Ste 350, Fort Myers, FL 33908",Healthcare,Check,,,26.5023298,-81.914769,
514,514,Florida Committee for Conservative Leade (PAC),10/6/16,1000,OLD REPUBLIC NATIONAL TITLE INSURANCE CO.,,,,400 SECOND AVENUE SOUTH,MINNEAPOLIS,MN,55401,"400 SECOND AVENUE SOUTH, MINNEAPOLIS, MN 55401",TITLE INSURANCE,,,,44.97847,-93.267609,
278,278,Florida Committee for Conservative Leade (PAC),10/6/16,3000,"ELEVATED, LLC",,,,"645 WEST 9TH STREET, UNIT 110-425",LOS ANGELES,CA,90015,"645 WEST 9TH STREET, UNIT 110-425, LOS ANGELES, CA 90015",ENTERTAINMENT,,,,34.045821,-118.261142,
530,530,Florida Committee for Conservative Leade (PAC),10/5/16,1000,"PEPSICO, INC.",,,,1001 13TH AVENUE EAST,BRADENTON,FL,34208,"1001 13TH AVENUE EAST, BRADENTON, FL 34208",BEVERAGE DISTRIBUTOR,,,,27.488058,-82.5536587,
374,374,Florida Committee for Conservative Leade (PAC),10/5/16,2500,FLORIDA SURVEYING AND MAPPING POLITICAL ACTION COMMITTEE,,,,1689 A MAHAN CENTER BLVD,TALLAHASSEE,FL,32308,"1689 A MAHAN CENTER BLVD, TALLAHASSEE, FL 32308",POLITICAL COMMITTEE,,,,30.4606955,-84.2361822,
1,1,Friends of Matt Caldwell,9/30/16,2500,Promax Compliance,,,,Post Office Box 50695,Fort Myers,FL,33994,"Post Office Box 50695, Fort Myers, FL 33994",Software,Check,,,26.5943296,-81.8584729,
0,0,Friends of Matt Caldwell,9/15/16,5000,Florida Committee for Conservative Leadership,,,,8489 Cabin Hill Road,Tallahassee,FL,32311,"8489 Cabin Hill Road, Tallahassee, FL 32311",Political Committee,Check,,,30.3912921,-84.1505442,
570,570,Florida Committee for Conservative Leade (PAC),8/19/16,5000,SIMPSON JUNE,,,,11865 FORT KING HIGHWAY,THONOTOSASSA,FL,33592,"11865 FORT KING HIGHWAY, THONOTOSASSA, FL 33592",RETIRED,,,,28.058446,-82.28816,
205,205,Florida Committee for Conservative Leade (PAC),8/4/16,2500,BELLPOWER PAC,,,,"150 SOUTH MONROE STREET, STE 400",TALLAHASSEE,FL,32301,"150 SOUTH MONROE STREET, STE 400, TALLAHASSEE, FL 32301",POLITICAL COMMITTEE,,,,30.4408683,-84.2809175,
623,623,Florida Committee for Conservative Leade (PAC),8/4/16,2500,"THE GEO GROUP, INC. POLITICAL CONTRIBUTION ACCOUNT",cleaned based on address,,,"621 MW 53RD ST, STE 700, OFFICE 7109",BOCA RATON,FL,33487,"621 MW 53RD ST, STE 700, OFFICE 7109, BOCA RATON, FL 33487",CORRECTIONS,,,,26.3972391,-80.0951049,
323,323,Florida Committee for Conservative Leade (PAC),8/4/16,10000,FLORIDA ENGINEERS POLITICAL ACTION COMMITTEE,,,,POST OFFICE BOX 750,TALLAHASSEE,FL,32302,"POST OFFICE BOX 750, TALLAHASSEE, FL 32302",POLITICAL COMMITTEE,,,,30.4763594,-84.2386338,
181,181,Florida Committee for Conservative Leade (PAC),7/29/16,1000,APARTMENT POLITICAL ACTION COMMITTEE,,,,"105 EAST ROBINSON STREET, STE 301",ORLANDO,FL,32801,"105 EAST ROBINSON STREET, STE 301, ORLANDO, FL 32801",POLITICAL COMMITTEE,,,,28.5459962,-81.3772368,
484,484,Florida Committee for Conservative Leade (PAC),7/21/16,2500,"MINTO COMMUNITIES, LLC",,,,4400 W SAMPLE ROAD STE 200,COCONUT CREEK,FL,33073,"4400 W SAMPLE ROAD STE 200, COCONUT CREEK, FL 33073",DEVELOPER,,,,26.2728226,-80.1843827,
390,390,Florida Committee for Conservative Leade (PAC),7/18/16,2000,FREE MARKETS FOR FLORIDA,,,,8695 COLLEGE PARKWAY #1386,FORT MYERS,FL,33919,"8695 COLLEGE PARKWAY #1386, FORT MYERS, FL 33919",POLITICAL COMMITTEE,,,,26.5556479,-81.8989835,
402,402,Florida Committee for Conservative Leade (PAC),7/5/16,2500,"GOLD AND ASSOCIATES, PA",,,,2298 SOUTH DIXIE HIGHWAY,MIAMI,FL,33133,"2298 SOUTH DIXIE HIGHWAY, MIAMI, FL 33133",LAW FIRM,,,,25.741904,-80.2316129,
334,334,Florida Committee for Conservative Leade (PAC),7/5/16,5000,FLORIDA JOBS PAC,,,,PO BOX 11309,TALLAHASSEE,FL,32302,"PO BOX 11309, TALLAHASSEE, FL 32302",POLITIFAL COMMITTEE,,,,26.0909516,-80.3735682,
669,669,Florida Committee for Conservative Leade (PAC),7/5/16,7500,"WEST FLAGLER ASSOCIATES, LTD.",,,,POST OFFICE BOX 350940,MIAMI,FL,33135,"POST OFFICE BOX 350940, MIAMI, FL 33135",ENTERTAINMENT,,,,25.8023665,-80.2253538,
544,544,Florida Committee for Conservative Leade (PAC),7/5/16,5000,RAI SERVICES COMPANY,,,,POST OFFICE BOX 464,WINSTON-SALEM,NC,27102,"POST OFFICE BOX 464, WINSTON-SALEM, NC 27102",TOBACCO,,,,36.1225651,-80.3676311,
385,385,Florida Committee for Conservative Leade (PAC),6/7/16,5000,FLORIDIANS UNITED FOR OUR CHILDREN'S FUTURE,,,,PO BOX 10085,TALLAHASSEE,FL,32302,"PO BOX 10085, TALLAHASSEE, FL 32302",POLITICAL COMMITTEE,,,,26.0909516,-80.3735682,
344,344,Florida Committee for Conservative Leade (PAC),6/2/16,1000,Florida Operators Association,,,,"101 NORTH MONROE STREET, SUITE 1090",TALLAHASSEE,FL,32301,"101 N. Monroe Street, Ste 1090, Tallahassee, Fl 32301",ASSOCIATION,,,,30.4425479,-84.2802939,
252,252,Florida Committee for Conservative Leade (PAC),5/23/16,5000,COSTA FARMS,,,,21800 SW 162ND AVE,MIAMI,FL,33170,"21800 SW 162ND AVE, MIAMI, FL 33170",AGRICULTURE,,,,25.5593392,-80.454064,
180,180,Florida Committee for Conservative Leade (PAC),5/23/16,2500,ANHEUSER BUSCH COMPANIES,,,,ONE BUSCH PLACE,ST. LOUIS,MO,63118,"ONE BUSCH PLACE, ST. LOUIS, MO 63118",BEVERAGE MANUFACTURER,,,,38.593751,-90.222012,
380,380,Florida Committee for Conservative Leade (PAC),5/23/16,5000,FLORIDIANS FOR A STRONGER DEMOCRACY,,,,POST OFFICE BOX 10085,TALLAHASSEE,FL,32302,"POST OFFICE BOX 10085, TALLAHASSEE, FL 32302",POLITICAL COMMITTEE,,,,30.442124,-84.320881,
161,161,Florida Committee for Conservative Leade (PAC),5/23/16,5000,"A. DUDA & SONS, INC.",,,,POST OFFICE BOX 620257,OVIEDO,FL,32762,"POST OFFICE BOX 620257, OVIEDO, FL 32762",AGRICULTURE,,,,28.6743161,-81.1998653,
352,352,Florida Committee for Conservative Leade (PAC),5/13/16,5000,"FLORIDA PHOSPHATE POLITICAL COMMITTEE, INC.",,,,POST OFFICE BOX 1384,MULBERRY,FL,33860,"POST OFFICE BOX 1384, MULBERRY, FL 33860",POLITICAL COMMITTEE,,,,28.03,-81.9599999,
443,443,Florida Committee for Conservative Leade (PAC),5/4/16,2500,IMPACT,,,,POST OFFICE BOX 12001,TALLAHASSEE,FL,32317,"POST OFFICE BOX 12001, TALLAHASSEE, FL 32317",POLITICAL COMMITTEE,,,,30.5315003,-84.3640422,
482,482,Florida Committee for Conservative Leade (PAC),4/28/16,9.8,"Metz, Husband & Daughton, PA",,,,"119 SOUTH MONROE STREET, SUITE 200",TALLAHASSEE,FL,32301,"119 SOUTH MONROE STREET, SUITE 200, TALLAHASSEE, FL 32301",LAW FIRM,,,FOOD AND BEVERAGE,30.4411786,-84.2801993,
412,412,Florida Committee for Conservative Leade (PAC),4/27/16,1000,"GREAT LAKES DREDGE & DOCK COMPANY, LLC",,,,2122 YORK ROAD,OAK BROOK,IL,60523,"2122 YORK ROAD, OAK BROOK, IL 60523",DREDGING,,,,41.8480599,-87.930572,
666,666,Florida Committee for Conservative Leade (PAC),4/27/16,1000,"WEEKS MARINE, INC.",,,,304 GAILLE DRIVE,COVINGTON,LA,70433,"304 GAILLE DRIVE, COVINGTON, LA 70433",MARINE INDUSTRY,,,,30.290986,-89.728633,
